pygame 2.0.1 (SDL 2.0.9, Python 3.7.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         67296374 function calls (67291979 primitive calls) in 27.451 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1530    0.000    0.000    0.001    0.000 __init__.py:2313(_normalize_cached)
       72    0.000    0.000    0.000    0.000 gfx.py:128(<listcomp>)
       72    0.000    0.000    0.001    0.000 dsp.py:2405(project_ellipse)
        1    0.000    0.000    0.016    0.016 pyparsing.py:75(<module>)
     1122    0.000    0.000    0.000    0.000 version.py:352(<lambda>)
     1542    0.000    0.000    0.000    0.000 version.py:54(<lambda>)
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       72    0.000    0.000    0.004    0.000 dsp.py:1599(project_text)
      336    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      561    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      284    0.000    0.000    0.000    0.000 dsp.py:3895(move_y)
      142    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
     1694    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
       82    0.000    0.000    0.000    0.000 pyparsing.py:3719(__init__)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      306    0.000    0.000    0.001    0.000 __init__.py:1317(safe_name)
        2    0.000    0.000    0.000    0.000 {built-in method pygame.draw.circle}
       42    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
      646    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      854    0.000    0.000    0.000    0.000 version.py:332(_parse_local_version)
      167    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
      126    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
       72    0.000    0.000    0.001    0.000 r.py:375(_get_rectangle_sprite)
       72    0.000    0.000    0.001    0.000 r.py:468(_get_polygon_sprite)
       29    0.000    0.000    0.000    0.000 {built-in method pygame.transform.scale}
      183    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
        2    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
      669    0.000    0.000    0.000    0.000 {method 'get_width' of 'pygame.Surface' objects}
       77    0.000    0.000    0.011    0.000 sre_compile.py:598(_code)
      126    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
     1059    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1194    0.000    0.000    0.000    0.000 dsp.py:3450(bbox_width)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.joystick.quit}
      564    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      216    0.000    0.000    0.000    0.000 gfx.py:2937(underline)
       72    0.000    0.000    0.001    0.000 r.py:397(_get_ellipse_sprite)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    61/11    0.000    0.000    0.002    0.000 pyparsing.py:3288(leaveWhitespace)
       96    0.000    0.000    0.003    0.000 __init__.py:1878(get_metadata_lines)
      158    0.000    0.000    0.001    0.000 warnings.py:165(simplefilter)
     1815    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      471    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
      161    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
       12    0.000    0.000    0.002    0.000 pyparsing.py:2653(__init__)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      405    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
